Classifier,Dataset,Sampling,Auc,Kappa,Tue_Negative,True_Positive,False_Negative,False_positive,Precision,Recall,Perc_Train_Total,Num_Training_Release,Snoring_Class
NaiveBayes,AVRO,Under Sampling,0.6624386252045826,0.1280583029672048,402.0,0.0,0.0,0.0,0.9453551912568307,0.9202127659574468,58.333333333333336,21,0
NaiveBayes,AVRO,Over Sampling,0.6374795417348609,0.11221985931621083,402.0,0.0,0.0,0.0,0.9447513812154696,0.9095744680851063,58.333333333333336,21,0
NaiveBayes,AVRO,SMOTE,0.6534369885433715,0.1280583029672048,402.0,0.0,0.0,0.0,0.9453551912568307,0.9202127659574468,58.333333333333336,21,0
IBk,AVRO,None,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,58.333333333333336,21,0
IBk,AVRO,Under Sampling,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,58.333333333333336,21,0
IBk,AVRO,Over Sampling,0.9230769230769231,0.6930126002290948,402.0,0.0,0.0,0.0,0.9838709677419355,0.973404255319149,58.333333333333336,21,0
IBk,AVRO,SMOTE,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,58.333333333333336,21,0
RandomForest,AVRO,None,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,61.111111111111114,22,0
RandomForest,AVRO,Under Sampling,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,61.111111111111114,22,0
RandomForest,AVRO,Over Sampling,0.9997442716857611,0.9232531500572742,402.0,0.0,0.0,0.0,1.0,0.9893617021276596,61.111111111111114,22,0
RandomForest,AVRO,SMOTE,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,61.111111111111114,22,0
NaiveBayes,AVRO,None,0.719721767594108,0.1280583029672048,402.0,0.0,0.0,0.0,0.9453551912568307,0.9202127659574468,61.111111111111114,22,0
